Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha
-,22h57m51.6729s, 35.1682358˚00'00",0,AND,-,23h36m10.6031s, 35.1913109˚00'00",0,AND,:,grey,1,0.5  
-,22h57m22.2843s, 53.1680298˚00'00",0,AND,-,22h57m51.6729s, 35.1682358˚00'00",0,AND,:,grey,1,0.5 
-,23h25m48.6945s, 53.1870041˚00'00",0,AND,-,22h57m22.2843s, 53.1680298˚00'00",0,AND,:,grey,1,0.5 
-,23h25m51.7638s, 50.6870193˚00'00",0,AND,-,23h25m48.6945s, 53.1870041˚00'00",0,AND,:,grey,1,0.5 
-,23h41m04.9337s, 50.6929131˚00'00",0,AND,-,23h25m51.7638s, 50.6870193˚00'00",0,AND,:,grey,1,0.5 
-,23h41m06.2589s, 48.6929169˚00'00",0,AND,-,23h41m04.9337s, 50.6929131˚00'00",0,AND,:,grey,1,0.5 
-,00h16m35.1282s, 48.6949348˚00'00",0,AND,-,23h41m06.2589s, 48.6929169˚00'00",0,AND,:,grey,1,0.5 
-,00h16m34.3869s, 46.6949348˚00'00",0,AND,-,00h16m35.1282s, 48.6949348˚00'00",0,AND,:,grey,1,0.5 
-,00h59m06.2585s, 46.6757545˚00'00",0,AND,-,00h16m34.3869s, 46.6949348˚00'00",0,AND,:,grey,1,0.5 
-,00h59m09.3282s, 48.6757393˚00'00",0,AND,-,00h59m06.2585s, 46.6757545˚00'00",0,AND,:,grey,1,0.5 
-,01h14m21.2179s, 48.6632690˚00'00",0,AND,-,00h59m09.3282s, 48.6757393˚00'00",0,AND,:,grey,1,0.5 
-,01h14m25.4169s, 50.6632347˚00'00",0,AND,-,01h14m21.2179s, 48.6632690˚00'00",0,AND,:,grey,1,0.5 
-,01h29m37.9047s, 50.6478767˚00'00",0,AND,-,01h14m25.4169s, 50.6632347˚00'00",0,AND,:,grey,1,0.5 
-,01h47m52.4457s, 50.6257439˚00'00",0,AND,-,01h29m37.9047s, 50.6478767˚00'00",0,AND,:,grey,1,0.5 
-,01h47m43.5455s, 47.6258430˚00'00",0,AND,-,01h47m52.4457s, 50.6257439˚00'00",0,AND,:,grey,1,0.5 
-,02h10m29.1579s, 47.5927505˚00'00",0,AND,-,01h47m43.5455s, 47.6258430˚00'00",0,AND,:,grey,1,0.5 
-,02h10m41.7123s, 51.0925827˚00'00",0,AND,-,02h10m29.1579s, 47.5927505˚00'00",0,AND,:,grey,1,0.5 
-,02h39m32.5149s, 51.0423737˚00'00",0,AND,-,02h10m41.7123s, 51.0925827˚00'00",0,AND,:,grey,1,0.5 
-,02h38m43.0419s, 37.2931557˚00'00",0,AND,-,02h39m32.5149s, 51.0423737˚00'00",0,AND,:,grey,1,0.5 
-,02h07m29.0619s, 37.3470840˚00'00",0,AND,-,02h38m43.0419s, 37.2931557˚00'00",0,AND,:,grey,1,0.5 
-,02h07m25.0201s, 35.5971375˚00'00",0,AND,-,02h07m29.0619s, 37.3470840˚00'00",0,AND,:,grey,1,0.5 
-,01h31m38.6004s, 35.6453362˚00'00",0,AND,-,02h07m25.0201s, 35.5971375˚00'00",0,AND,:,grey,1,0.5 
-,01h31m35.3823s, 33.6453705˚00'00",0,AND,-,01h31m38.6004s, 35.6453362˚00'00",0,AND,:,grey,1,0.5 
-,00h49m46.3353s, 33.6818962˚00'00",0,AND,-,01h31m35.3823s, 33.6453705˚00'00",0,AND,:,grey,1,0.5 
-,00h49m39.2379s, 24.4319324˚00'00",0,AND,-,00h49m46.3353s, 33.6818962˚00'00",0,AND,:,grey,1,0.5 
-,00h57m41.7755s, 24.4266243˚00'00",0,AND,-,00h49m39.2379s, 24.4319324˚00'00",0,AND,:,grey,1,0.5 
-,00h57m39.5557s, 21.6766376˚00'00",0,AND,-,00h57m41.7755s, 24.4266243˚00'00",0,AND,:,grey,1,0.5 
-,00h14m57.5811s, 21.6951923˚00'00",0,AND,-,00h57m39.5557s, 21.6766376˚00'00",0,AND,:,grey,1,0.5 
-,00h14m57.7547s, 22.6951923˚00'00",0,AND,-,00h14m57.5811s, 21.6951923˚00'00",0,AND,:,grey,1,0.5 
-,00h10m26.4039s, 22.6957588˚00'00",0,AND,-,00h14m57.7547s, 22.6951923˚00'00",0,AND,:,grey,1,0.5 
-,00h10m27.0822s, 28.6957588˚00'00",0,AND,-,00h10m26.4039s, 22.6957588˚00'00",0,AND,:,grey,1,0.5 
-,00h06m25.4919s, 28.6960354˚00'00",0,AND,-,00h10m27.0822s, 28.6957588˚00'00",0,AND,:,grey,1,0.5 
-,00h06m25.6745s, 32.0293655˚00'00",0,AND,-,00h06m25.4919s, 28.6960354˚00'00",0,AND,:,grey,1,0.5 
-,23h51m18.8979s, 32.0285034˚00'00",0,AND,-,00h06m25.6745s, 32.0293655˚00'00",0,AND,:,grey,1,0.5 
-,23h51m18.7398s, 32.7785072˚00'00",0,AND,-,23h51m18.8979s, 32.0285034˚00'00",0,AND,:,grey,1,0.5 
-,23h36m11.7979s, 32.7746468˚00'00",0,AND,-,23h51m18.7398s, 32.7785072˚00'00",0,AND,:,grey,1,0.5 
-,23h36m10.6031s, 35.1913109˚00'00",0,AND,-,23h36m11.7979s, 32.7746468˚00'00",0,AND,:,grey,1,0.5
